IAUC_ID	SDSS_ID	U_mag_app	U_mag	U_sf	B_mag_app	B_mag	B_sf	V_mag_app	V_mag	V_sf	R_mag_app	R_mag	R_sf	I_mag_app	I_mag	I_sf	chi_square	redshift	lumi_dis	B_max_day
SN2005jg		21.458	-19.305	1.126	21.928	-18.835	0.956	0	0	0	0	0	0	0	0	0	0.84	0.302	40.764	53672.8
SN2005jg		21.458	-19.305	1.126	21.928	-18.835	0.956	0	0	0	0	0	0	0	0	0	0.84	0.302	40.764	53672.8
SN2005jh		18.922	-19.535	1.175	19.518	-18.939	0.827	19.462	-18.996	0.813	19.547	-18.91	0.903	19.789	-18.669	0.939	1.717	0.111	38.4584	53668.7
SN2005ji		20.28	-19.69	1.035	20.945	-19.025	1.084	21.044	-18.925	1.168	20.947	-19.023	1.053	0	0	0	1.057	0.215	39.9705	53682.3
SN2005jk		20.428	-18.832	1.015	20.711	-18.549	0.971	20.737	-18.524	0.955	20.497	-18.763	0.749	0	0	0	0.782	0.158	39.2611	53669.7
SN2005jl		19.982	-19.577	1.013	20.614	-18.946	1.012	20.599	-18.96	0.749	20.488	-19.071	1.373	0	0	0	0.675	0.18	39.5603	53678.3
SN2005jm		20.155	-19.693	1.145	20.769	-19.079	1.204	20.817	-19.031	0.982	20.756	-19.092	0.918	0	0	0	0.223	0.204	39.8489	53696.5
SN2005jp		20.751	-19.197	0.965	21.143	-18.804	0.866	21.173	-18.775	1	0	0	0	0	0	0	1.521	0.213	39.9489	53676.2
SN2005ju		21.121	-19.281	1.033	21.637	-18.765	1.071	21.722	-18.681	1.356	0	0	0	0	0	0	0.679	0.259	40.4038	53680.8
SN2005jy		21.146	-19.354	0.926	21.575	-18.925	0.963	21.769	-18.731	1.115	21.125	-19.376	1.1	0	0	0	0.567	0.27	40.5011	53668.7
SN2005jz		20.927	-19.393	0.976	21.294	-19.026	0.83	21.425	-18.895	0.975	21.183	-19.137	1.94	0	0	0	0.698	0.25	40.3212	53659
SN2005kn		20.852	-18.832	1.857	21.164	-18.52	1.363	21.069	-18.614	1.302	20.787	-18.897	1.049	0	0	0	1.66	0.19	39.6848	53683.6
